,neighbourhood,mean_availability,mean_price,median_availability,median_price
0,arden heights,125.66666666666667,76.0,55.0,75.0
1,arrochar,251.85,89.5,301.0,65.0
2,arverne,189.33823529411765,137.60294117647058,158.5,110.0
3,astoria,177.25940594059406,89.22970297029703,172.0,80.0
4,bath beach,214.28571428571428,68.92857142857143,308.5,59.0
5,bay ridge,194.31914893617022,94.0,189.0,83.5
6,bay terrace,222.5,142.0,246.5,141.5
7,baychester,184.16666666666666,78.0,136.5,75.0
8,bayside,193.65625,76.28125,158.5,59.5
9,bedford-stuyvesant,172.90408602150538,95.10709677419355,168.0,83.0
10,belle harbor,186.625,171.5,188.0,155.0
11,bellerose,296.0,83.4,348.0,70.0
12,belmont,252.92857142857142,58.07142857142857,323.5,49.5
13,bensonhurst,183.96296296296296,78.4074074074074,176.5,79.0
14,bergen beach,117.77777777777777,92.44444444444444,90.0,95.0
15,boerum hill,134.56666666666666,166.24444444444444,75.5,160.0
16,borough park,203.66666666666666,53.343434343434346,179.0,50.0
17,briarwood,211.1951219512195,76.14634146341463,208.0,70.0
18,brighton beach,205.04918032786884,87.62295081967213,204.0,80.0
19,bronxdale,212.53846153846155,54.92307692307692,206.0,50.0
20,brooklyn heights,116.12857142857143,160.88571428571427,74.5,150.0
21,brownsville,149.35714285714286,68.97619047619048,127.0,65.0
22,bull's head,210.66666666666666,46.666666666666664,179.0,50.0
23,bushwick,160.3806990881459,74.80091185410335,133.5,65.0
24,cambria heights,178.58823529411765,62.294117647058826,151.0,55.0
25,canarsie,231.6439393939394,88.85606060606061,281.5,82.5
26,carroll gardens,133.1851851851852,150.12962962962962,87.5,150.0
27,castle hill,159.33333333333334,63.0,177.0,39.0
28,castleton corners,251.66666666666666,136.33333333333334,350.0,65.0
29,chelsea,175.7496136012365,203.7480680061824,170.0,199.0
30,chinatown,143.65196078431373,147.26960784313727,115.0,132.5
31,city island,163.92307692307693,94.3076923076923,166.0,95.0
32,civic center,142.54166666666666,184.25,89.5,171.0
33,clifton,195.6153846153846,79.53846153846153,256.0,75.0
34,clinton hill,162.57785467128028,134.08996539792386,156.0,125.0
35,co-op city,364.0,77.5,364.0,77.5
36,cobble hill,113.0,166.54,92.0,160.0
37,college point,153.3846153846154,63.61538461538461,79.0,60.0
38,concord,260.0833333333333,48.458333333333336,321.0,34.0
39,concourse village,214.0,67.66666666666667,188.0,65.0
40,coney island,185.9090909090909,90.72727272727273,158.0,99.0
41,corona,249.4561403508772,49.49122807017544,330.0,40.0
42,crown heights,158.23105134474326,97.2677261613692,131.5,89.0
43,cypress hills,187.45871559633028,75.69724770642202,180.0,68.0
44,dongan hills,210.0,66.2,229.0,65.0
45,douglaston,200.71428571428572,85.28571428571429,226.0,65.0
46,downtown brooklyn,77.57142857142857,157.31428571428572,39.0,149.0
